TimeSinceStart,TrashPicked,PromptsTriggered,PromptType
4.98,0,1,HelpHint
9.98,0,2,HelpHint
10.60,1,2,None
14.98,1,3,SpawnMore
19.99,1,4,HelpHint
24.32,2,4,None
24.99,2,5,SpawnMore
29.80,3,5,None
29.99,3,6,SpawnMore
33.56,4,6,None
34.99,4,7,SpawnMore
39.99,4,8,HelpHint
43.52,5,8,None
44.99,5,9,SpawnMore
49.99,5,10,HelpHint
54.04,6,10,None
55.00,6,11,SpawnMore
58.16,7,11,None
60.00,7,12,SpawnMore
62.44,8,12,None
65.00,8,13,SpawnMore
66.78,9,13,None
70.00,9,14,SpawnMore
72.70,10,14,None
75.00,10,15,SpawnMore
77.70,11,15,None
80.01,11,15,End,1
