TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.72,1,1,0,None,
10.00,2,1,0,None,
13.12,3,1,0,None,
14.99,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.00,4,2,1,None,
24.72,5,2,1,None,
29.99,5,3,1,HelpHint,
30.01,6,3,1,None,
34.99,6,3,2,SpawnMore,
39.99,6,4,2,HelpHint,
40.01,7,4,2,None,
50.00,7,5,2,HelpHint,
50.01,8,5,2,None,
52.08,9,5,2,None,
55.00,9,5,3,SpawnMore,
60.00,9,6,3,HelpHint,
60.01,10,6,3,None,
65.90,11,6,3,None,
68.08,12,6,3,None,
70.00,12,6,4,SpawnMore,
70.01,13,6,4,None,
70.02,14,6,4,None,
80.00,14,7,4,HelpHint,
80.01,15,7,4,None,
85.00,15,7,5,SpawnMore,
90.01,15,8,5,HelpHint,
90.02,16,8,5,None,
92.78,17,8,5,None,
100.01,17,9,5,HelpHint,
100.02,18,9,5,None,
102.06,19,9,5,None,
105.01,19,9,5,Final,0
