TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
6.03,2,1,0,None,
12.03,3,1,0,None,
14.99,3,1,1,SpawnMore,
18.03,4,1,1,None,
24.03,5,1,1,None,
24.10,6,1,1,None,
29.99,6,2,1,HelpHint,
30.03,7,2,1,None,
34.48,8,2,1,None,
35.00,8,2,2,SpawnMore,
36.04,9,2,2,None,
38.72,10,2,2,None,
42.04,11,2,2,None,
48.04,12,2,2,None,
49.64,13,2,2,None,
50.00,13,2,3,SpawnMore,
54.04,14,2,3,None,
55.80,15,2,3,None,
60.04,16,2,3,None,
65.01,16,2,4,SpawnMore,
65.98,17,2,4,None,
66.04,18,2,4,None,
72.05,19,2,4,None,
76.02,20,2,4,None,
78.05,21,2,4,None,
80.01,21,2,4,Final,1
