TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
5.22,1,0,1,SpawnMore,
5.22,2,0,1,None,
9.72,3,0,1,None,
9.96,4,0,1,None,
14.99,4,1,1,HelpHint,
15.23,5,1,1,None,
19.99,5,1,2,SpawnMore,
20.08,6,1,2,None,
25.52,7,1,2,None,
25.68,8,1,2,None,
30.43,8,2,2,HelpHint,
30.43,8,2,3,SpawnMore,
30.43,9,2,3,None,
32.72,10,2,3,None,
35.01,10,2,4,SpawnMore,
36.00,11,2,4,None,
41.20,12,2,4,None,
41.88,13,2,4,None,
46.72,14,2,4,None,
50.02,14,2,5,SpawnMore,
51.46,15,2,5,None,
52.36,16,2,5,None,
55.02,16,2,5,Final,1
