TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
8.58,1,1,0,None,
10.00,2,1,0,None,
14.98,2,1,1,SpawnMore,
18.34,3,1,1,None,
20.01,4,1,1,None,
20.82,5,1,1,None,
29.99,5,2,1,HelpHint,
30.01,6,2,1,None,
34.06,7,2,1,None,
34.99,7,2,2,SpawnMore,
39.99,7,3,2,HelpHint,
40.01,8,3,2,None,
42.70,9,3,2,None,
50.00,9,4,2,HelpHint,
50.01,10,4,2,None,
55.00,10,4,3,SpawnMore,
60.00,10,5,3,HelpHint,
60.01,11,5,3,None,
70.01,11,6,3,HelpHint,
70.01,12,6,3,None,
75.01,12,6,4,SpawnMore,
80.01,12,7,4,HelpHint,
80.02,13,7,4,None,
90.01,13,8,4,HelpHint,
90.02,14,8,4,None,
95.01,14,8,5,SpawnMore,
100.01,14,9,5,HelpHint,
100.03,15,9,5,None,
100.80,16,9,5,None,
110.02,16,10,5,HelpHint,
110.03,17,10,5,None,
115.02,17,10,6,SpawnMore,
117.68,18,10,6,None,
120.03,19,10,6,None,
124.02,20,10,6,None,
130.02,20,11,6,HelpHint,
130.03,21,11,6,None,
135.03,21,11,7,SpawnMore,
140.03,21,12,7,HelpHint,
140.03,22,12,7,None,
140.14,23,12,7,None,
150.03,23,13,7,HelpHint,
150.04,24,13,7,None,
155.03,24,13,8,SpawnMore,
155.68,25,13,8,None,
160.03,25,13,8,Final,0
